girl,gūniang,姑娘
to be told,tīngshuō,听说
to listen,tīng,听
to have; to get,dé,得
to tell,gàosu,告诉
(measure word) piece,jiàn,件
matter; affair; thing,shìr,事儿
to walk,sànbù,散步
step,bù,步
movie,diànyǐng,电影
electricity,diàn,电
shadow,yǐng,影
coffee,kāfēi,咖啡
but,kěshì,可是
dormitory,sùshè,宿舍
to look for,zhǎo,找
house,fángzi,房子
to rent,zū,租
(measure word for room; house),jiān,间
kitchen,chúfáng,厨房
toilet,cèsuǒ,厕所
rent (for a house; flat),fángzū,房租
(business) company,gōngsī,公司
to do,bàn,办
to make a phone call,dǎ diànhuà,打电话
telephone; phone call,diànhuà,电话
to let; to allow; to make,ràng,让
to help,bāngzhù,帮助
hello; hey,wèi,喂
(polite measure word for person),wèi,位
manager,jīnglǐ,经理
maybe,kěnéng,可能
to eat (a meal),chīfàn,吃饭
meal,fàn,饭
to wait,děng,等
(name of a house rental agency),jiāměi,家美
