ah; expression,à,啊
to introduce; present,jièshào,介绍
start; open,kāi,开
to learn; study,xuéxí,学习
america,měiguó,美国
learn; study,xué,学习
department; system,xì,系
chinese language,zhōngwén,中文
school opens,kāixué,开学
teach,jiāo,教
literature,wénxué,文学
university professor,jiàoshòu,教授
university,xuéyuàn,学院
Ding Libo (name),dīng lìbō,丁力波
to ask,wèn,问
Ma Dawei (name),mǎ dàwéi,吗大为
to see; look at,kàn,看
beautiful; america,měi,美
canada,jiānádà,加拿大
happy; glad,gāoxìng,高兴
very,hěn,很
one time,yíxià,一下
the fine arts,měishù,美术
specialized field,zhuānyè,专业
zhang (surname),zhāng,张
high; tall,gāo,高兴
who,shéi,谁
(business) card,míngpiàn,名片
(a persons) name,míngzi,名字
dad,bàba,爸爸
to come,lái,来
