to be aquainted with,rènshi,认识
friend,péngyou,朋友
sir; mister,xiānsheng,先生
reporter,jìzhě,记者
(spoken) language,yǔyán,语言
what,shénme,什么
can; may,kěyǐ,可以
come in,jìnlai,进来
(possessive particle),de,的
america,měiguó,美国
university,xuéyuàn,学院
you (formal),nín,您
surname; family name,xìng,姓
Ma Dawei (name),mǎ dàwéi,马大为
canada,jiānádà,加拿大
yang (surname),yáng,杨
to (be) call(ed),jiào,叫
to ask,wèn,问
what is your name?,guìxìng,贵姓
to study,xuéxí,学习
england,yīngguó,英国
to enter,jìn,进
happy; glad,gāoxìng,高兴
to ask; invite,qǐng,请
student,xuésheng,学生
may I ask…,qǐngwèn,请问
to come,lái,来
chinese language,hànyǔ,汉语
