noon,zhōngwǔ,中午
just now,gāngcái,刚才
post office,yóujú,邮局
post (office),yóu,邮
office; bureau,jú,局
to post; to mail,jì,寄
to clean,dǎsǎo,打扫
to sweep,sǎo,扫
dirty,zāng,脏
to feel embarrassed,bù hǎoyìsi,不好意思
to wash,xǐ,洗
grandmother (on mother's side),wàipó,外婆
middle school,zhōngxué,中学
to have a part-time job,dǎgōng,打工
south,nánfāng,南方
to travel,lǚxíng,旅行
to miss; to remember with longing,xiǎng,想
international student,liúxuéshēng,留学生
to live; to stay,zhù,住
building,lóu,楼
right; correct,duì,对
to read,niàn,念
new word,shēngcí,生词
new,shēng,生
word,cí,词
to review,fùxí,复习
text,kèwén,课文
to practice/exercise,liànxí,练习
to practice,liàn,练
spoken language,kǒuyǔ,口语
grammer,yǔfǎ,语法
to spend (time); to celebrate,guò,过
festival,jié,节
present; gift,lǐwù,礼物
christmas,shèngdàn,生蛋
europe,ōuzhōu,欧洲
shanghai,shànghǎi,上海
