beijing opera,jīngjù,京剧
busy,máng,忙
play ball,dǎqiú,打球
today,jīntiān,今天
you (plural),nǐmen,你们
hit; strike,dǎ,打
ball; sphere,qiú,球
a time; once,biàn,遍
how is it,zěnme yàng,怎么样
length of time,shíjiān,时间
to thank,xièxie,谢谢
yesterday,zuótiān,昨天
be sorry,bàoqiàn,抱歉
time,shíhou,时候
swim,yóuyǒng,游泳
very; too (much),tài,太
to go; leave,qù,去
now; at present,xiànzài,现在
interesting,yǒu yìsi,有意思
(I'm) afraid (that),kǒngpà,恐怕
to have,yǒu,有意思
to speak; to say,shuō,说
tomorrow,míngtiān,明天
day; sky,tiān,天
what,shénme,什么
weather,tiānqì,天气
all right; OK,xíng,行
